occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID,eventID
,distance category,near,,,UJ-11
,distance category,near,,,UJ-11
,distance category,near,,,UJ-11
,distance category,near,,,UJ-11
,distance category,near,,,UJ-11
,distance category,near,,,UJ-11
,distance category,near,,,UJ-11
,distance category,far,,,UH-11
,distance category,far,,,UH-11
,distance category,far,,,UH-11
,distance category,far,,,UH-11
,distance category,far,,,UH-11
,distance category,far,,,UH-11
,distance category,far,,,UH-11
,distance category,near,,,UH-11
,distance category,near,,,UH-11
,distance category,near,,,UH-11
,distance category,near,,,UH-11
,distance category,near,,,UH-11
,distance category,near,,,UH-11
,distance category,near,,,UH-11
,distance category,near,,,UH-11
,distance category,near,,,UH-11
,distance category,near,,,UH-11
