occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID,eventID
MEAS_C2404-2_black sea bass_31,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_31,weight,105,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_31,retained,N,,,
MEAS_C2404-2_black sea bass_32,total length,192,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_32,weight (recorded),185,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_32,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_32,weight,185,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_32,retained,N,,,
MEAS_UM-15_black sea bass_33,total length,264,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_33,weight (recorded),255,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_33,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_33,weight,255,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_33,retained,Y,,,
MEAS_UM-15_black sea bass_34,total length,227,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_34,weight (recorded),115,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_34,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_34,weight,115,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_34,retained,Y,,,
MEAS_UM-15_black sea bass_35,total length,293,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_35,weight (recorded),300,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_35,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_35,weight,300,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_35,retained,Y,,,
MEAS_UM-15_black sea bass_36,total length,201,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_36,weight (recorded),110,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_36,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_36,weight,110,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_36,retained,Y,,,
MEAS_UM-15_black sea bass_37,total length,215,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_37,weight (recorded),125,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_37,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_37,weight,125,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_37,retained,Y,,,
MEAS_UM-15_black sea bass_38,total length,324,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_38,weight (recorded),410,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_38,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_38,weight,410,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_38,retained,N,,,
MEAS_UM-15_black sea bass_39,total length,253,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_39,weight (recorded),170,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_39,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_39,weight,170,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_39,retained,Y,,,
MEAS_UM-15_black sea bass_40,total length,202,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_40,weight (recorded),155,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_40,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_40,weight,155,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_40,retained,Y,,,
MEAS_UM-15_black sea bass_41,total length,379,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_41,weight (recorded),715,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_41,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_41,weight,715,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_41,retained,Y,,,
MEAS_UM-15_black sea bass_42,total length,245,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_42,weight (recorded),190,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_42,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_42,weight,190,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_42,retained,Y,,,
MEAS_UM-15_black sea bass_43,total length,202,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_43,weight (recorded),120,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_43,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_43,weight,120,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_43,retained,Y,,,
MEAS_UM-15_black sea bass_44,total length,306,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_44,weight (recorded),385,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_44,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_44,weight,385,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_44,retained,N,,,
MEAS_UM-15_black sea bass_45,total length,296,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_45,weight (recorded),370,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_45,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_45,weight,370,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_45,retained,N,,,
MEAS_UM-15_black sea bass_46,total length,212,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_46,weight (recorded),165,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_46,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_46,weight,165,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_46,retained,N,,,
MEAS_UM-15_black sea bass_47,total length,205,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_47,weight (recorded),160,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_47,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_47,weight,160,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_47,retained,N,,,
MEAS_UM-15_black sea bass_48,total length,239,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_48,weight (recorded),205,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_48,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_48,weight,205,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_48,retained,N,,,
MEAS_UM-15_black sea bass_49,total length,225,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_49,weight (recorded),250,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_49,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_49,weight,250,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_49,retained,N,,,
MEAS_UM-15_black sea bass_50,total length,208,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-15_black sea bass_50,weight (recorded),105,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_50,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_50,weight,105,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_50,retained,N,,,
MEAS_UM-15_black sea bass_51,total length,206,mm,http://qudt.org/vocab/unit/MilliM,
